name,category,manufacturer,supplier,unit,pack_size,hsn_code,gst_rate,batch_no,purchase_price,sale_price,mrp_price,quantity,reorder_level,expiry_date
"CAAT 20 MG 15,S",,ABBOT PHARMACEUTICALS.,,,,3004,12,,150.69,,210.96,,,
CEROM 250MG 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,223.09,,312.33,,,
"CEROM 500 10,S",,ABBOT PHARMACEUTICALS.,,,,3004,12,,411.44,,576.01,,,
CILADUO 10MG 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,59.93,,83.9,,,
CLARIBID 250MG 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,191.11,,267.56,,,
CLARIBID DS 250MG 30ML,,ABBOT PHARMACEUTICALS.,,,,29309040,12,,178.56,,249.98,,,
CLARIBID SUSPENSAN 21.15 30.ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,110,,154.56,,,
CLARIBID-500 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,318.69,,446.09,,,
COLOSPA X TAB 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,239.73,,335.62,,,
CORSANGO-D3 SYRUP 100ML,,ABBOT PHARMACEUTICALS.,,,,3004,18,,84.74,,125,,,
CREMAFIN FRESH TAB 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,7.28,,10.19,,,
CREMAGEL 2% 30GM,,ABBOT PHARMACEUTICALS.,,,,9019,12,,102.49,,143.48,,,
CREMAPEG SYRUP 200ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,265.34,,371.34,,,
DELETUS BL SY 100ML,,ABBOT PHARMACEUTICALS.,,,,3003,12,,100.71,,141,,,
DIGENE GEL 200ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,132.28,,185.19,,,
DIGERAFT SUSPENSION 150ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,209.15,,292.81,,,
DUPHALAC 150ML 150ML,,ABBOT PHARMACEUTICALS.,,,,3004,5,,150,,196.87,,,
DUPHALAC BULK LEMON SYP 160ML,,ABBOT PHARMACEUTICALS.,,,,3004,18,,334.92,,494,,,
DUPHALAC ENEMA 300ML,,ABBOT PHARMACEUTICALS.,,,,30022013,5,,295.2,,387.45,,,
"ECORAL M 10,S",,ABBOT PHARMACEUTICALS.,,,,3001,12,,131,,185,,,
ENSURE DIA 400GM 400GM,,ABBOT PHARMACEUTICALS.,,,,29309040,12,,686.56,,845,,,
EPTOIN* 300ER 30S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,126.44,,177.02,,,
ESGIPYRIN INSTAGEL 30GM,,ABBOT PHARMACEUTICALS.,,,,3004,12,,71.07,,99.5,,,
ESGIPYRIN SP TAB 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,76.43,,107,,,
ESGIPYRIN TAB 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,101.24,,141.71,,,
ESSUM 400GM 400GM,,ABBOT PHARMACEUTICALS.,,,,2923,18,,287.53,,380,,,
FOLLIHAIR NEW 30 TAB 30S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,542.7,,799.7,,,
FORTIUS-10MG 10,,ABBOT PHARMACEUTICALS.,,,,3003,12,,28.52,,39.93,,,
GANATON OD CAP 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,223.83,,313.36,,,
"GLUFORMIN G2 FORTE TAB 10,S",,ABBOT PHARMACEUTICALS.,,,,30049099,12,,188.36,,263.71,,,
HYDENT K PASTE 70GM,,ABBOT PHARMACEUTICALS.,,,,3004,18,,133.56,,183.86,,,
"INDERAL 40MG 15,S",,ABBOT PHARMACEUTICALS.,,,,30049099,12,,36.37,,51.35,,,
"INDERAL F 5MG 10,S",,ABBOT PHARMACEUTICALS.,,,,29309040,12,,63.11,,88.35,,,
INDERAL LA 40 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,38.52,,53.92,,,
"INDIRAL LA 20MG 15,S",,ABBOT PHARMACEUTICALS.,,,,30049099,12,,38.34,,53.68,,,
INFLUVAC TETRA .05 ML,,ABBOT PHARMACEUTICALS.,,,,30063004,0,,1200,,2222,,,
"ISMO 10 MG 15,S",,ABBOT PHARMACEUTICALS.,,,,29309040,12,,57.44,,80.41,,,
ISOMIL POW 400G,,ABBOT PHARMACEUTICALS.,,,,3004,18,,520.56,,675,,,
KENACORT 10MG/1ML 1ML,,ABBOT PHARMACEUTICALS.,,,,29309040,12,,67.68,,95.17,,,
LIMCEE TAB 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,18.8,,26.32,,,
LOBATE GM LOTION 25ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,58.07,,81.3,,,
LOBATE S OINTMENT 30GM,,ABBOT PHARMACEUTICALS.,,,,3004,12,,167.13,,233.98,,,
LOFATIN CREAM 30GM,,ABBOT PHARMACEUTICALS.,,,,3004,12,,210.71,,295,,,
MALIDENS 650MG TAB 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,13.8,,19.32,,,
MALIDENS DS SYP 60ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,27.12,,37.97,,,
MONTI-FX 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,156.91,,219.65,,,
MYOMOVE 10 10S,,ABBOT PHARMACEUTICALS.,,,,3004,18,,180.16,,265.74,,,
NYLON SILK FINE 1,,ABBOT PHARMACEUTICALS.,,,,30049099,12,,11,,0,,,
PARIT D CAP 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,104.63,,146.49,,,
PEDIASURE VANILA 400GM 400GM,,ABBOT PHARMACEUTICALS.,,,,3004,0,,700.7,,770,,,
PROTHIADEN M TAB 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,171.99,,240.79,,,
"REJOINT UC PLUS 10,S",,ABBOT PHARMACEUTICALS.,,,,30040,18,,793.22,,1170,,,
"RESTICLIN 250 10,S",,ABBOT PHARMACEUTICALS.,,,,3004,5,,18.37,,24.11,,,
RIVOTRIL .05MG 15TAB,,ABBOT PHARMACEUTICALS.,,,,3004,12,,41.41,,57.96,,,
RZOLE-DSR 10CAP,,ABBOT PHARMACEUTICALS.,,,,3004,12,,13.2,,154.97,,,
SELSUN SAMPOO 60ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,150,,210,,,
"SFEXIM 200MG 10,S",,ABBOT PHARMACEUTICALS.,,,,3001,12,,36.56,,109.41,,,
"SIAGLIDE M 500 15,S",,ABBOT PHARMACEUTICALS.,,,,3004,12,,187.98,,263.17,,,
SIMILAC MT 400GM 400MGM,,ABBOT PHARMACEUTICALS.,,,,3004,18,,462.71,,600,,,
SIMILAC NEOSURE 400GM,,ABBOT PHARMACEUTICALS.,,,,3004,18,,566.82,,735,,,
SIMILAC PLUS 1 400G,,ABBOT PHARMACEUTICALS.,,,,3005,18,,736.48,,955,,,
SITAXA DM/10/100/1000 TAB 10'S,,ABBOT PHARMACEUTICALS.,,,,3003,12,,164.29,,230,,,
"SOLFE EXTRA TABLET 15,S",,ABBOT PHARMACEUTICALS.,,,,29309040,12,,216.07,,302.5,,,
STATOR ASP 75 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,63.18,,88.24,,,
"STATOR CV 15,S",,ABBOT PHARMACEUTICALS.,,,,3001,12,,130.11,,182.16,,,
SURBEX-XT TAB 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,70.29,,98.4,,,
THYONOROM 150MG TAB 1JAR,,ABBOT PHARMACEUTICALS.,,,,3004,12,,163.2,,228.48,,,
THYRONORM 100MG TAB 100S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,126.72,,177.4,,,
THYRONORM 112MG 120,,ABBOT PHARMACEUTICALS.,,,,29309040,12,,142.08,,198.91,,,
THYRONORM 12.5MG 50S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,144.55,,202.37,,,
THYRONORM 125 100 TAB,,ABBOT PHARMACEUTICALS.,,,,3004,12,,162.24,,227.13,,,
THYRONORM 25 MG 100 TAB,,ABBOT PHARMACEUTICALS.,,,,3004,12,,141.26,,197.77,,,
THYRONORM 50MG TAB 100S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,100.59,,140.83,,,
THYRONORM 62.5MCG 120TAB,,ABBOT PHARMACEUTICALS.,,,,3004,12,,154.56,,216.38,,,
THYRONORM 75MCG 1*100S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,140.17,,196.24,,,
THYRONORM 88MG 1JAR,,ABBOT PHARMACEUTICALS.,,,,30049099,12,,158.23,,221.51,,,
TIXYLIX LS SYP 100ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,60.71,,85,,,
TOSSEX DMR 100ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,56.5,,79.1,,,
TRIBET 2MG 10TAB,,ABBOT PHARMACEUTICALS.,,,,3003,12,,260.43,,364.6,,,
TYZA 1% POWDER 50GM,,ABBOT PHARMACEUTICALS.,,,,30042099,12,,102.5,,143.5,,,
TYZA CREME 10GM,,ABBOT PHARMACEUTICALS.,,,,3004,12,,64.37,,90.12,,,
"UDILIV 450MG 15,S",,ABBOT PHARMACEUTICALS.,,,,30022013,5,,499.18,,655.17,,,
"VERTIN OD 24 7,S",,ABBOT PHARMACEUTICALS.,,,,3003,12,,394.97,,552.94,,,
"VERTIN OD 48 15,S",,ABBOT PHARMACEUTICALS.,,,,3004,12,,666,,932.4,,,
VERTIN OD 48MG TAB 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,282.56,,395.57,,,
VONEFI 20MG 10S,,ABBOT PHARMACEUTICALS.,,,,30042099,12,,112.86,,158,,,
XEVOR 10MG 10S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,107.14,,150,,,
"ZEN 200MG 10,S",,ABBOT PHARMACEUTICALS.,,,,3001,12,,12.56,,17.58,,,
"ZOLFRESH 10MG 15,S",,ABBOT PHARMACEUTICALS.,,,,3003,12,,102.11,,142.96,,,
"ZOLFRESH 5MG 15,S",,ABBOT PHARMACEUTICALS.,,,,2106,12,,74.51,,104.32,,,
ADIZA 10MG 10S,,ABBOTT LABORATORIES B.V.,,,,3004,12,,80.82,,105,,,
CREMADITE 300GM POW 300GM,,ABBOTT LABORATORIES B.V.,,,,3004,12,,170.24,,238.34,,,
CREMAFFIN (BLUE) 170 ML,,ABBOTT LABORATORIES B.V.,,,,3004,12,,113.3,,158.62,,,
CREMAFFIN (PINK) 170ML,,ABBOTT LABORATORIES B.V.,,,,3004,12,,113.3,,158.62,,,
DIGECAINE SYP 170ML,,ABBOTT LABORATORIES B.V.,,,,3004,12,,81.07,,113.5,,,
DIGENE GEL (L) 450ML,,ABBOTT LABORATORIES B.V.,,,,3004,12,,188.45,,263.83,,,
EPTOIN INJ 2 ML,,ABBOTT LABORATORIES B.V.,,,,3004,12,,8.92,,11.61,,,
FLAGYL 200MG 15S,,ABBOTT LABORATORIES B.V.,,,,3004,12,,9.82,,13.74,,,
INDERAL F 10 15'S,,ABBOTT LABORATORIES B.V.,,,,3004,12,,84.32,,118.05,,,
PROTHIADIN 50MG TAB 10S,,ABBOTT LABORATORIES B.V.,,,,3004,12,,250.3,,350.42,,,
THYONORM 75 TAB 1POT,,ABBOTT LABORATORIES B.V.,,,,3004,12,,140.19,,196.24,,,
CREMALAX TAB 10S,,ABORATE PHARAMA,,,,3004,12,,158.19,,221.46,,,
DIGENE GEL (OR) SYP 170ML,,ABORATE PHARAMA,,,,3004,12,,120.27,,168.36,,,
GANATONE TAB 1*10S,,ABORATE PHARAMA,,,,3004,12,,74.29,,104,,,
"CALJEEV TAB 10,S",,ADMAC LAB,,,,29309040,12,,103.57,,145,,,
GEOZN LIQ 100ML,,ADMAC LAB,,,,29309040,12,,85.72,,120,,,
GESTOFIT SR 50/2ML 2ML,,ADMAC LAB,,,,29309040,12,,140.64,,196.9,,,
POTANCE KID SYP 100ML,,ADMAC LAB,,,,2936,18,,134.93,,198.49,,,
POTANCE KIDS DROP 30ML,,ADMAC LAB,,,,3005,18,,128.99,,189.75,,,
PROKNOT Z SACHET 1GM,,ADMAC LAB,,,,3001,12,,210.64,,294.9,,,
"RELIFE KIDS MDT 10,S",,ADMAC LAB,,,,30049099,12,,64.11,,89.75,,,
SERVIL BABY 60ML,,ADMAC LAB,,,,3004,12,,17.86,,25,,,
TIZAN 2 10S,,ADMAC LAB,,,,29309040,12,,140.71,,197,,,
ARDEN-325 10S,,ADONIS,,,,3004,12,,29.1,,40.73,,,
CONIDERM 100 MG CAP 4S,,ADONIS,,,,3004,12,,28.57,,40,,,
SERVIL BABY LS DROP 15ML,,ADONIS,,,,3004,12,,28.79,,44.5,,,
SERVIL BABY PLUS SY 60ML,,ADONIS,,,,3004,12,,17.86,,25,,,
SERVIL LS SY 60ML,,ADONIS,,,,3004,12,,42.31,,59.24,,,
SERVIL-LS JUNIOR 60ML,,ADONIS,,,,3004,12,,69.32,,97,,,
AMINOGLOBIN SYP 300ML,,ADONIS PHARMA,,,,3004,12,,171.44,,240,,,
ARDEN (JR) TAB 10S,,ADONIS PHARMA,,,,3004,12,,12.36,,17.3,,,
ARDEN 250 TAB 10S,,ADONIS PHARMA,,,,3004,12,,16.16,,22.63,,,
ARDEN 500 TAB 10S,,ADONIS PHARMA,,,,3004,12,,9.84,,13.78,,,
ARDEN 650MG TAB 10S,,ADONIS PHARMA,,,,3004,12,,20.76,,29.06,,,
ARDEN-A 10S,,ADONIS PHARMA,,,,3004,12,,38.5,,53.9,,,
COLDAID TAB 10 TAB,,ADONIS PHARMA,,,,3004,12,,33.57,,47,,,
CONIDERM F CREAM 15 GM,,ADONIS PHARMA,,,,3004,12,,64.82,,90.75,,,
SERVIL EXP. 100ML,,ADONIS PHARMA,,,,3004,12,,58.93,,82.5,,,
SERVIL JUNIOR 60ML,,ADONIS PHARMA,,,,3004,12,,68.15,,95.39,,,
SERVIL-D SY 100ML,,ADONIS PHARMA,,,,3004,12,,50,,70,,,
AGLOZYME C SYRUP 200ML,,AGLOWMED,,,,3004,12,,81.44,,114,,,
AGLOZYME JUNIOR SYP 60ML,,AGLOWMED,,,,3004,12,,55.72,,78,,,
AGLOZYME SYP 200ML,,AGLOWMED,,,,3004,12,,97.14,,136,,,
BIODINE 15GM OINT 15GM,,AGLOWMED,,,,3004,12,,11.85,,50.05,,,
INSTARYL D SYP 100ML,,AGLOWMED,,,,3004,12,,50.84,,66.5,,,
INSTARYL EXP. 100ML,,AGLOWMED,,,,3004,12,,46.25,,60.5,,,
INSTARYL P SYP 100ML,,AGLOWMED,,,,3004,12,,51.15,,71.61,,,
LIZOMED DRY SYRUP 30ML,,AGLOWMED,,,,3004,12,,105.71,,148,,,
PANCEF O 200 TAB 10S,,AGLOWMED,,,,3004,12,,86.02,,109,,,
ACVAKETO SOAP 75G,,AJANTA PHARMA,,,,3004,18,,27.12,,125,,,
ANTIBACTRIN-OIL 1PH,,AJANTA PHARMA,,,,3004,12,,15.09,,20,,,
APDROPS DM EYE DROPS 5ML,,AJANTA PHARMA,,,,3003,12,,131.07,,183.5,,,
APDROPS E/DROP 5ML,,AJANTA PHARMA,,,,3004,12,,92.86,,130,,,
APDROPS KT DROPS 5ML,,AJANTA PHARMA,,,,30043200,12,,131.42,,184,,,
AQUASOFT FC FACIAL CREAM 60G 60GM,,AJANTA PHARMA,,,,3004,18,,181.69,,268,,,
ATORFIT CV 10 10S,,AJANTA PHARMA,,,,3004,12,,106.67,,140,,,
ATORFIT CV 20 TAB 10S,,AJANTA PHARMA,,,,3004,12,,312.14,,437,,,
ATORFIT CV 40CAP 10'S,,AJANTA PHARMA,,,,3004,12,,305,,427,,,
BETOACT E/DROP 5ML,,AJANTA PHARMA,,,,3004,12,,139.29,,195,,,
BIDIN T EYE DROP 5ML,,AJANTA PHARMA,,,,29309040,12,,180,,252,,,
BILANIX FORTE 40MG 10,,AJANTA PHARMA,,,,29309040,12,,142.15,,199,,,
"BILANTA 20MG 10,S",,AJANTA PHARMA,,,,29309040,12,,105,,147,,,
BIMAT EYE DROPS 3ML,,AJANTA PHARMA,,,,3004,12,,325,,455,,,
BIMAT T EYE DROP 3ML,,AJANTA PHARMA,,,,3001,12,,325,,455,,,
BOROLIN-OINT-20MG 1XPH,,AJANTA PHARMA,,,,3004,12,,9.17,,30,,,
BRIVEX EYE DROPS 5ML,,AJANTA PHARMA,,,,3001,12,,397.86,,557,,,
CILAMET XL 50 15S,,AJANTA PHARMA,,,,3004,12,,115.36,,161.5,,,
CINOD 10 15S,,AJANTA PHARMA,,,,3004,12,,89.29,,125,,,
CINOD-20 10S,,AJANTA PHARMA,,,,3004,12,,80,,105,,,
DIOVOL MINT SYP 170ML,,AJANTA PHARMA,,,,3004,12,,88.07,,137,,,
"FEBURIC 20MG 15,S",,AJANTA PHARMA,,,,29309040,12,,123.21,,172.5,,,
FEBURIC 40 TAB 1*10S,,AJANTA PHARMA,,,,3004,12,,165,,231,,,
FEBURIC TAB 20MG 10'S,,AJANTA PHARMA,,,,3004,12,,117.5,,164.5,,,
GATE DM BAK FREE EYE D 5ML,,AJANTA PHARMA,,,,3003,12,,80,,112,,,
HICKS-THEROM-DIG-18 1PH,,AJANTA PHARMA,,,,3004,18,,110.95,,198,,,
"ILASTAR 200 CAP 10,S",,AJANTA PHARMA,,,,3004,12,,55,,247.74,,,
ITAPRO 100 7S,,AJANTA PHARMA,,,,3004,12,,65.54,,91.75,,,
IVERA CREAM 30GM,,AJANTA PHARMA,,,,3004,12,,89.29,,125,,,
LOTEL E/DROP 5ML,,AJANTA PHARMA,,,,3004,12,,138.93,,194.5,,,
LUCOZ 50GM 50GM,,AJANTA PHARMA,,,,3004,12,,234.29,,328,,,
LUCOZ CREAM 15GM,,AJANTA PHARMA,,,,3004,12,,133.57,,187,,,
M.C2%BD 1DOZ,,AJANTA PHARMA,,,,3004,12,,13.93,,29,,,
ME-12 OD TAB 10S,,AJANTA PHARMA,,,,3004,12,,0,,79,,,
MELACARE CREAM 20GM,,AJANTA PHARMA,,,,3004,12,,185,,259,,,
MELACARE GLOW FC WASH 100GM 100GM,,AJANTA PHARMA,,,,3004,18,,63.56,,287,,,
"MERCAVIT 12G CAP 10,CAP",,AJANTA PHARMA,,,,3004,18,,45,,399,,,
MET XL 12.5 10 TAB,,AJANTA PHARMA,,,,3004,12,,83.57,,117,,,
MET XL 25 10 TAB,,AJANTA PHARMA,,,,3004,12,,69.11,,96.76,,,
MET XL 50 15S TAB,,AJANTA PHARMA,,,,3004,12,,93.44,,130.81,,,
MET XL AM 25 10 TAB,,AJANTA PHARMA,,,,3004,12,,83.75,,117.25,,,
MET XL AM 50 10 TAB,,AJANTA PHARMA,,,,3004,12,,233.57,,327,,,
"MET XL AMT 50/5/40MG 10,S",,AJANTA PHARMA,,,,3001,12,,119.52,,167.33,,,
"METXL 100MG 15,S",,AJANTA PHARMA,,,,3001,12,,217.04,,303.85,,,
METXL AM 5/25 15TAB,,AJANTA PHARMA,,,,3004,12,,67.2,,94.08,,,
"METXL AM T50/5/40 TAB 10,S",,AJANTA PHARMA,,,,3004,12,,113.84,,159.37,,,
"METXL AMT 50/5/40 10,S",,AJANTA PHARMA,,,,3003,12,,113.84,,159.37,,,
METXL AMT 50/5/40 10S,,AJANTA PHARMA,,,,30049099,12,,113.84,,159.37,,,
MONTEK BL TAB 10,,AJANTA PHARMA,,,,3004,12,,147.86,,207,,,
MOX CLAV 375MG 10,,AJANTA PHARMA,,,,3004,12,,188.57,,264,,,
MOXIFORD EYE DROP 5ML,,AJANTA PHARMA,,,,3004,12,,13.87,,70,,,
NEPAFLAM EYE DROPS 5 ML,,AJANTA PHARMA,,,,3004,12,,180.71,,253,,,
NS-500ML-JEDUX 500ML,,AJANTA PHARMA,,,,3004,12,,16.5,,39.04,,,
OCUMOIST MAX EYE DROPS 10 ML,,AJANTA PHARMA,,,,3001,12,,240,,336,,,
OVICARD SR 10S,,AJANTA PHARMA,,,,3004,12,,250,,350,,,
P-40-DSR CAP 10CAP,,AJANTA PHARMA,,,,3004,12,,14.35,,175,,,
PERODUO GEL 15GM 15GM,,AJANTA PHARMA,,,,3004,12,,335.71,,470,,,
PRIXAIN GEL 30G 30G,,AJANTA PHARMA,,,,30049099,12,,169.29,,237,,,
ROSUFIT CV 10MG 10S,,AJANTA PHARMA,,,,3004,12,,260.71,,365,,,
"ROSUFIT F 10/160MG 15,S",,AJANTA PHARMA,,,,3004,12,,259.29,,363,,,
SOFTVISE EYE DROPS 10ML,,AJANTA PHARMA,,,,3004,12,,195.71,,274,,,
SORVATECOINT 20MG,,AJANTA PHARMA,,,,3004,12,,324.64,,454.5,,,
SUNSTOP 19 CREAM 60GM,,AJANTA PHARMA,,,,19019010,18,,244.75,,361,,,
"TAPENAX ER 50MG 10,S",,AJANTA PHARMA,,,,3004,12,,195,,273,,,
TELVAS H40/12.5MG 10,,AJANTA PHARMA,,,,3004,12,,65.71,,92,,,
THYRONORM 37.5TAB 120,,AJANTA PHARMA,,,,3004,12,,140.69,,196.96,,,
TOPISAL 3% CREAM 30GM,,AJANTA PHARMA,,,,3004,12,,62.14,,87,,,
URISOFT CAP 10S,,AJANTA PHARMA,,,,2106,18,,162.71,,240,,,
VERTIZAC TAB 10S,,AJANTA PHARMA,,,,3004,12,,96.43,,135,,,
VIMERAL 500ML 500ML,,AJANTA PHARMA,,,,30063004,0,,529,,730,,,
VIRSON GEL 5GM,,AJANTA PHARMA,,,,3004,5,,131.05,,172,,,
ZEZINCO SY 200ML,,AJANTA PHARMA,,,,3004,18,,30,,176,,,
"AZMARDA 50MG 14,S",,AKCIGEN LAB,,,,29309040,12,,478.72,,670.21,,,
CISSQ PLUS 10TA,,AKCIGEN LAB,,,,3004,12,,212.15,,297,,,
PHLOGAM TAB 10S,,AKCIGEN LAB,,,,3004,12,,155.15,,203.63,,,
REUTIN DROP 3.5ML,,AKCIGEN LAB,,,,2923,18,,338.31,,499,,,
AKUMENTIS-EL SACHETS 21.8GM 21.8GM,,AKUMENTIS,,,,30022013,5,,6.75,,23,,,
"ALL 9 NVP 10,S",,AKUMENTIS,,,,30049099,12,,135.13,,189.18,,,
ALL 9D 10CAP,,AKUMENTIS,,,,29309040,12,,191.68,,268.35,,,
CODCHARGE,,AKUMENTIS,,,,30040,18,,6.19,,6.19,,,
D LIQ 800IU 15ML,,AKUMENTIS,,,,3004,12,,105.29,,147.4,,,
DELPOMONT SUSPENSION 100ML,,AKUMENTIS,,,,3004,12,,95,,128,,,
HYDRONIC MOISTURIZING CREAM 50 50GM,,AKUMENTIS,,,,30040,18,,236.61,,349,,,
NEWBONA ACTIVE 10S,,AKUMENTIS,,,,3004,12,,282.14,,395,,,
NOSOAP PH 5.5 GENTLE FACE&BODY 125ML,,AKUMENTIS,,,,30040,18,,257.63,,380,,,
P.D COL 10S,,AKUMENTIS,,,,29309040,12,,6.85,,25,,,
PLATFROMFEE,,AKUMENTIS,,,,30040,18,,3.43,,3.43,,,
"TENELIGLIP 20MG 10,S",,AKUMENTIS,,,,30042099,12,,88.64,,124.1,,,
TRUMIST LOTION 200ML,,AKUMENTIS,,,,2923,18,,319.32,,471,,,
"VILMAX M 500MG 15,S",,AKUMENTIS,,,,29309040,12,,111.43,,156,,,
WELMINIC LS DROP 15ML,,AKUMENTIS,,,,29309040,12,,40.86,,57.2,,,
ADLIV SYP 200ML,,ALBERT DAVID,,,,3004,12,,77.14,,108,,,
ALAMIN FORTE CAP 10 CAP,,ALBERT DAVID,,,,3004,12,,67.86,,95,,,
ALAMIN M FORTE TAB 10S,,ALBERT DAVID,,,,3004,12,,67.86,,95,,,
COGNITRUST DHA X MANGO 200ML 200ML,,ALBERT DAVID,,,,2936,18,,541.7,,799,,,
CYCLOTIN 20MG 15S,,ALBERT DAVID,,,,3004,12,,49.8,,69.72,,,
CYP-L LIQUID. 200ML,,ALBERT DAVID,,,,3004,12,,63.94,,89.5,,,
DAPAZOL S 10/100 TAB 10,,ALBERT DAVID,,,,3004,12,,203.57,,285,,,
DEREK L 10S,,ALBERT DAVID,,,,3004,12,,110,,154,,,
EVICT SOLUTION 100ML,,ALBERT DAVID,,,,30022013,5,,101.95,,127.44,,,
EVICT SOLUTION 200 ML,,ALBERT DAVID,,,,3004,5,,173.04,,216.3,,,
EVICT SYP 100ML,,ALBERT DAVID,,,,3004,5,,86.48,,113.5,,,
FORLAST PLUS TAB,,ALBERT DAVID,,,,3004,12,,518.57,,726,,,
METMAX INJ 1ML,,ALBERT DAVID,,,,3003,12,,35,,49,,,
PLACENTREX GEL 20GM,,ALBERT DAVID,,,,3004,12,,95,,133,,,
PLACENTREX INJ 2ML,,ALBERT DAVID,,,,3004,12,,80.19,,112.27,,,
SHEFA E HAYAT,,ALBERT DAVID,,,,3004,12,,16.74,,30,,,
SIOPLEX LYSIN 200ML,,ALBERT DAVID,,,,3004,12,,70.71,,99,,,
SIOTONE CAP 10S,,ALBERT DAVID,,,,3004,12,,100,,140,,,
VERBET 16 TAB 10S,,ALBERT DAVID,,,,3004,12,,79.29,,111,,,
VERBET-24 10S,,ALBERT DAVID,,,,3004,12,,112.14,,157,,,
VERBET-8 10S,,ALBERT DAVID,,,,3004,12,,41.43,,58,,,
VILTAB 50/500 15,,ALBERT DAVID,,,,3004,12,,85.1,,119.13,,,
XOTEN C 10 CAP 15,,ALBERT DAVID,,,,3004,12,,113.14,,158.39,,,
